forecast,actual,index,chart_value,timestamp,time,date
87.0,101.0,moderate,101.0,2026-05-15 05:00:00+00:00,05:00,2026-05-15
87.0,93.0,moderate,93.0,2026-05-15 05:30:00+00:00,05:30,2026-05-15
95.0,93.0,moderate,93.0,2026-05-15 06:00:00+00:00,06:00,2026-05-15
86.0,85.0,low,85.0,2026-05-15 06:30:00+00:00,06:30,2026-05-15
87.0,78.0,low,78.0,2026-05-15 07:00:00+00:00,07:00,2026-05-15
77.0,72.0,low,72.0,2026-05-15 07:30:00+00:00,07:30,2026-05-15
69.0,66.0,low,66.0,2026-05-15 08:00:00+00:00,08:00,2026-05-15
65.0,62.0,low,62.0,2026-05-15 08:30:00+00:00,08:30,2026-05-15
58.0,60.0,low,60.0,2026-05-15 09:00:00+00:00,09:00,2026-05-15
52.0,61.0,low,61.0,2026-05-15 09:30:00+00:00,09:30,2026-05-15
51.0,59.0,low,59.0,2026-05-15 10:00:00+00:00,10:00,2026-05-15
55.0,57.0,low,57.0,2026-05-15 10:30:00+00:00,10:30,2026-05-15
55.0,57.0,low,57.0,2026-05-15 11:00:00+00:00,11:00,2026-05-15
50.0,61.0,low,61.0,2026-05-15 11:30:00+00:00,11:30,2026-05-15
50.0,61.0,low,61.0,2026-05-15 12:00:00+00:00,12:00,2026-05-15
58.0,60.0,low,60.0,2026-05-15 12:30:00+00:00,12:30,2026-05-15
58.0,60.0,low,60.0,2026-05-15 13:00:00+00:00,13:00,2026-05-15
57.0,62.0,low,62.0,2026-05-15 13:30:00+00:00,13:30,2026-05-15
58.0,65.0,low,65.0,2026-05-15 14:00:00+00:00,14:00,2026-05-15
63.0,69.0,low,69.0,2026-05-15 14:30:00+00:00,14:30,2026-05-15
67.0,81.0,low,81.0,2026-05-15 15:00:00+00:00,15:00,2026-05-15
72.0,95.0,moderate,95.0,2026-05-15 15:30:00+00:00,15:30,2026-05-15
89.0,112.0,moderate,112.0,2026-05-15 16:00:00+00:00,16:00,2026-05-15
95.0,128.0,moderate,128.0,2026-05-15 16:30:00+00:00,16:30,2026-05-15
126.0,138.0,moderate,138.0,2026-05-15 17:00:00+00:00,17:00,2026-05-15
137.0,144.0,moderate,144.0,2026-05-15 17:30:00+00:00,17:30,2026-05-15
146.0,152.0,moderate,152.0,2026-05-15 18:00:00+00:00,18:00,2026-05-15
164.0,163.0,moderate,163.0,2026-05-15 18:30:00+00:00,18:30,2026-05-15
174.0,168.0,moderate,168.0,2026-05-15 19:00:00+00:00,19:00,2026-05-15
177.0,164.0,moderate,164.0,2026-05-15 19:30:00+00:00,19:30,2026-05-15
170.0,162.0,moderate,162.0,2026-05-15 20:00:00+00:00,20:00,2026-05-15
167.0,167.0,moderate,167.0,2026-05-15 20:30:00+00:00,20:30,2026-05-15
163.0,169.0,moderate,169.0,2026-05-15 21:00:00+00:00,21:00,2026-05-15
164.0,160.0,moderate,160.0,2026-05-15 21:30:00+00:00,21:30,2026-05-15
156.0,151.0,moderate,151.0,2026-05-15 22:00:00+00:00,22:00,2026-05-15
152.0,156.0,moderate,156.0,2026-05-15 22:30:00+00:00,22:30,2026-05-15
145.0,155.0,moderate,155.0,2026-05-15 23:00:00+00:00,23:00,2026-05-15
141.0,153.0,moderate,153.0,2026-05-15 23:30:00+00:00,23:30,2026-05-15
153.0,153.0,moderate,153.0,2026-05-16 00:00:00+00:00,00:00,2026-05-16
151.0,150.0,moderate,150.0,2026-05-16 00:30:00+00:00,00:30,2026-05-16
160.0,150.0,moderate,150.0,2026-05-16 01:00:00+00:00,01:00,2026-05-16
154.0,147.0,moderate,147.0,2026-05-16 01:30:00+00:00,01:30,2026-05-16
156.0,141.0,moderate,141.0,2026-05-16 02:00:00+00:00,02:00,2026-05-16
151.0,137.0,moderate,137.0,2026-05-16 02:30:00+00:00,02:30,2026-05-16
144.0,142.0,moderate,142.0,2026-05-16 03:00:00+00:00,03:00,2026-05-16
132.0,141.0,moderate,141.0,2026-05-16 03:30:00+00:00,03:30,2026-05-16
134.0,139.0,moderate,139.0,2026-05-16 04:00:00+00:00,04:00,2026-05-16
,,,,2026-05-16 04:30:00+00:00,04:30,2026-05-16
